    Scone Hospital-Hunter, public hospital
    Shellharbour Hospital-Wollongong, Illawarra, public hospital
    Shoalhaven Hospital-Illawarra, public hospital
    Singleton Hospital-Hunter, public hospital
    Springwood Hospital-Sydney, public hospital
    St George Hospital NSW-Sydney, public hospital
    St Josephs Hospital-Sydney, public hospital
    St Vincents Hospital-Sydney, public hospital
    Sutherland Hospital-Sydney, public hospital
    Sydney Childrens Hospital-Sydney, public hospital
    Sydney Dental Hospital-Sydney, public hospital
    Sydney Hospital / Sydney Eye Hospital-Sydney, public hospital
    Tamworth Hospital-New England, public hospital
    Temora Hospital-Murrumbidgee, public hospital
    Tenterfield Hospital-New England, public hospital
    The Childrens Hospital at Westmead-CHW, Sydney, public hospital
    The Tweed Hospital-Richmond-Tweed, public hospital
    Thomas Walker Hospital-Sydney, public hospital
    Tibooburra Hospital-Far West NSW, public hospital
    Tingha Multi Purpose Service-New England, public hospital
    Tocumwal Hospital-Murray, public hospital
    Tomaree Hospital-Hunter, public hospital
    Tottenham Multi Purpose Service-Central NSW, public hospital
    Trangie Multi Purpose Service-North Western NSW, public hospital
    Tresillian Family Care Centre-Sydney, public hospital
    Tresillian Family Care Centre-Sydney, public hospital
    Trundle Multi Purpose Health Service-Central NSW, public hospital
    Tullamore Multi Purpose Health Service-Central NSW, public hospital
    Tumbarumba Multi Purpose Service-Murray, public hospital
    Tumut Hospital-Murrumbidgee, public hospital
    Urana Multi Purpose Service-Murray, public hospital
    Urbenville Multi Purpose Service-New England, public hospital
    Vegetable Creek Multi Purpose Service Emmaville-New England, public hospital
    Wagga Wagga Hospital-Murrumbidgee, public hospital
    Walcha Multi Purpose Service-New England, public hospital
    Walgett Hospital-North Western NSW, public hospital
    War Memorial Hospital-WMHW, Sydney, public hospital
    Warialda Multi Purpose Service-New England, public hospital
    Warren Multi Purpose Service-North Western NSW, public hospital
    Wauchope Hospital-NSW Mid-North Coast, public hospital
    Wee Waa Hospital-New England, public hospital
    Wellington Hospital-North Western NSW, public hospital
    Wentworth Hospital-Murray, public hospital
    Wentworth Psychiatric Services-Sydney, public hospital
    Werris Creek Hospital-New England, public hospital
    Westmead Hospital-Sydney, public hospital
    Wilcannia Multi Purpose Service-Far West NSW, public hospital
    Wilson Memorial Community Hospital-Hunter, public hospital
    Wingham Hospital-NSW Mid-North Coast, public hospital
    Wollongong Hospital-Illawarra, public hospital
    Woy Woy Hospital-Sydney, public hospital
    Wyalong Hospital-Central NSW, public hospital
    Wyong Hospital-Sydney, public hospital
    Yass Hospital-South Eastern NSW, public hospital
    Young Hospital-South Eastern NSW, public hospital
